Dataset	Threads	PeakMemory(MB)	CPU(%)	WallTime(s)	NumHits
contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10.fasta	1	748.99	95	3:07.19	18
contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10.fasta	2	1068.89	200	1:28.88	18
contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10.fasta	4	1607.71	387	0:46.07	18
contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10.fasta	8	2253.94	712	0:24.94	18
contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10.fasta	16	3445.25	1220	0:14.68	18
contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10.fasta	32	4785.20	1902	0:10.59	18
contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10.fasta	1	785.94	98	3:04.15	18
contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10.fasta	2	1398.91	199	1:30.66	18
contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10.fasta	4	2066.79	396	0:45.83	18
contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10.fasta	8	4024.05	772	0:23.47	18
contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10.fasta	16	4582.77	1455	0:12.56	18
contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10.fasta	32	6694.49	2492	0:08.26	18
contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10.fasta	1	787.82	98	3:00.35	18
contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10.fasta	2	1035.62	199	1:29.49	18
contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10.fasta	4	1657.22	380	0:46.94	18
contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10.fasta	8	2813.61	685	0:26.06	18
contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10.fasta	16	3856.26	1159	0:15.51	18
contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10.fasta	32	4405.41	1786	0:11.30	18
